timestamp,station_code,crew_count,crew_capacity,crew_utilization_pct,crew_on_duty,crew_off_duty,water_consumption_lph,food_consumption_kg_day,network_latency_ms,bandwidth_usage_pct,connection_uptime_pct,communication_status,data_source
2026-01-01 00:00:00,BHARATI,30,45,66.66666666666667,20,10,96.0,54.0,730.7118895158451,48.333333333333336,99.0761958010759,NORMAL,SIMULATED_OPERATIONAL
2026-01-01 01:00:00,BHARATI,30,45,66.66666666666667,20,10,96.0,54.0,828.0061259334036,48.333333333333336,98.85998638681465,NORMAL,SIMULATED_OPERATIONAL
2026-01-01 02:00:00,BHARATI,30,45,66.66666666666667,20,10,96.0,54.0,942.9059860836635,48.333333333333336,98.60465336425852,NORMAL,SIMULATED_OPERATIONAL
2026-01-01 03:00:00,BHARATI,30,45,66.66666666666667,20,10,96.0,54.0,963.6517941663491,48.333333333333336,98.55855156851922,NORMAL,SIMULATED_OPERATIONAL
2026-01-01 04:00:00,BHARATI,30,45,66.66666666666667,20,10,96.0,54.0,886.0737971921371,48.333333333333336,98.73094711735081,NORMAL,SIMULATED_OPERATIONAL
2026-01-01 05:00:00,BHARATI,30,45,66.66666666666667,20,10,96.0,54.0,836.8604162317213,48.333333333333336,98.84031018615174,NORMAL,SIMULATED_OPERATIONAL
2026-01-01 06:00:00,BHARATI,30,45,66.66666666666667,20,10,96.0,54.0,745.0743720346275,48.333333333333336,99.04427917325638,NORMAL,SIMULATED_OPERATIONAL
2026-01-01 07:00:00,BHARATI,30,45,66.66666666666667,20,10,96.0,54.0,616.8415980049247,48.333333333333336,99.32924089332239,NORMAL,SIMULATED_OPERATIONAL
2026-01-01 08:00:00,BHARATI,30,45,66.66666666666667,20,10,96.0,54.0,563.098115031416,48.333333333333336,99.44867085548574,NORMAL,SIMULATED_OPERATIONAL
2026-01-01 09:00:00,BHARATI,30,45,66.66666666666667,20,10,96.0,54.0,589.2491584706329,48.333333333333336,99.39055742562081,NORMAL,SIMULATED_OPERATIONAL
2026-01-01 10:00:00,BHARATI,30,45,66.66666666666667,20,10,96.0,54.0,568.8636994117159,48.333333333333336,99.43585844575175,NORMAL,SIMULATED_OPERATIONAL
2026-01-01 11:00:00,BHARATI,30,45,66.66666666666667,20,10,96.0,54.0,554.5012168929334,48.333333333333336,99.46777507357126,NORMAL,SIMULATED_OPERATIONAL
2026-01-01 12:00:00,BHARATI,30,45,66.66666666666667,20,10,96.0,54.0,563.3555071912508,48.333333333333336,99.44809887290833,NORMAL,SIMULATED_OPERATIONAL
2026-01-01 13:00:00,BHARATI,30,45,66.66666666666667,20,10,96.0,54.0,553.6371146420594,48.333333333333336,99.46969530079542,NORMAL,SIMULATED_OPERATIONAL
2026-01-01 14:00:00,BHARATI,30,45,66.66666666666667,20,10,96.0,54.0,712.2311324397056,48.333333333333336,99.11726415013399,NORMAL,SIMULATED_OPERATIONAL
2026-01-01 15:00:00,BHARATI,30,45,66.66666666666667,20,10,96.0,54.0,810.5549374966035,48.333333333333336,98.8987668055631,NORMAL,SIMULATED_OPERATIONAL
2026-01-01 16:00:00,BHARATI,30,45,66.66666666666667,20,10,96.0,54.0,861.1067576881604,48.333333333333336,98.78642942735965,NORMAL,SIMULATED_OPERATIONAL
2026-01-01 17:00:00,BHARATI,30,45,66.66666666666667,20,10,96.0,54.0,876.4473304143152,48.333333333333336,98.75233926574597,NORMAL,SIMULATED_OPERATIONAL
2026-01-01 18:00:00,BHARATI,30,45,66.66666666666667,20,10,96.0,54.0,901.2084561904239,48.333333333333336,98.69731454179906,NORMAL,SIMULATED_OPERATIONAL
2026-01-01 19:00:00,BHARATI,30,45,66.66666666666667,20,10,96.0,54.0,942.5456370598946,48.333333333333336,98.60545413986691,NORMAL,SIMULATED_OPERATIONAL
2026-01-01 20:00:00,BHARATI,30,45,66.66666666666667,20,10,96.0,54.0,925.1459270550614,48.333333333333336,98.64412016209987,NORMAL,SIMULATED_OPERATIONAL
