timestamp,station_code,fuel_level_l,fuel_capacity_l,fuel_percentage,fuel_consumption_rate_lph,daily_fuel_consumption_lpd,estimated_runtime_hours,fuel_refill_event,fuel_refill_quantity_l,data_source
2026-01-01 00:00:00,BHARATI,76010.74631691274,100000,76.01074631691274,189.25368308725805,189.25368308725805,401.63417206452425,False,0.0,SIMULATED_OPERATIONAL
2026-01-01 01:00:00,BHARATI,75825.52749575968,100000,75.82552749575969,185.21882115306474,374.4725042403228,409.3834904234571,False,0.0,SIMULATED_OPERATIONAL
2026-01-01 02:00:00,BHARATI,75652.13188562576,100000,75.65213188562576,173.39561013392603,547.8681143742488,436.2978499120832,False,0.0,SIMULATED_OPERATIONAL
2026-01-01 03:00:00,BHARATI,75486.65104315423,100000,75.48665104315423,165.48084247152775,713.3489568457766,456.16549877151056,False,0.0,SIMULATED_OPERATIONAL
2026-01-01 04:00:00,BHARATI,75307.7402133451,100000,75.3077402133451,178.91082980913646,892.259786654913,420.9233185810161,False,0.0,SIMULATED_OPERATIONAL
2026-01-01 05:00:00,BHARATI,75122.53206571499,100000,75.12253206571499,185.2081476301108,1077.4679342850238,405.61137847858754,False,0.0,SIMULATED_OPERATIONAL
2026-01-01 06:00:00,BHARATI,74930.26331000932,100000,74.93026331000932,192.26875570565693,1269.7366899906808,389.71627519512117,False,0.0,SIMULATED_OPERATIONAL
2026-01-01 07:00:00,BHARATI,74718.51486060128,100000,74.71851486060127,211.74844940803956,1481.4851393987203,352.86451952532883,False,0.0,SIMULATED_OPERATIONAL
2026-01-01 08:00:00,BHARATI,74508.8373262096,100000,74.5088373262096,209.67753439168615,1691.1626737904064,355.3496445977091,False,0.0,SIMULATED_OPERATIONAL
2026-01-01 09:00:00,BHARATI,74304.70762640798,100000,74.30470762640799,204.12969980161736,1895.2923735920238,364.0073330760821,False,0.0,SIMULATED_OPERATIONAL
2026-01-01 10:00:00,BHARATI,74103.98285499815,100000,74.10398285499815,200.72477140983295,2096.017145001857,369.1820512959767,False,0.0,SIMULATED_OPERATIONAL
2026-01-01 11:00:00,BHARATI,73929.18997435115,100000,73.92918997435115,174.7928806470015,2270.8100256488583,422.95309569073896,False,0.0,SIMULATED_OPERATIONAL
2026-01-01 12:00:00,BHARATI,73753.87513685286,100000,73.75387513685286,175.314837498282,2446.1248631471403,420.6938567739631,False,0.0,SIMULATED_OPERATIONAL
2026-01-01 13:00:00,BHARATI,73577.90704998001,100000,73.57790704998001,175.96808687284565,2622.092950019986,418.13210768806806,False,0.0,SIMULATED_OPERATIONAL
2026-01-01 14:00:00,BHARATI,73402.5753816189,100000,73.4025753816189,175.33166836111224,2797.4246183810983,418.6498427108976,False,0.0,SIMULATED_OPERATIONAL
2026-01-01 15:00:00,BHARATI,73232.93877110563,100000,73.23293877110564,169.6366105132634,2967.0612288943616,431.7047985663434,False,0.0,SIMULATED_OPERATIONAL
2026-01-01 16:00:00,BHARATI,73061.67590582535,100000,73.06167590582535,171.2628652802782,3138.32409417464,426.60547449242506,False,0.0,SIMULATED_OPERATIONAL
2026-01-01 17:00:00,BHARATI,72886.68672536875,100000,72.88668672536875,174.98918045660477,3313.3132746312444,416.52110453448165,False,0.0,SIMULATED_OPERATIONAL
2026-01-01 18:00:00,BHARATI,72688.05399759824,100000,72.68805399759823,198.63272777051668,3511.9460024017612,365.94198153275033,False,0.0,SIMULATED_OPERATIONAL
2026-01-01 19:00:00,BHARATI,72490.2188867813,100000,72.49021888678129,197.83511081694837,3709.78111321871,366.41735932230245,False,0.0,SIMULATED_OPERATIONAL
2026-01-01 20:00:00,BHARATI,72289.33728572444,100000,72.28933728572444,200.88160105685117,3910.6627142755606,359.86041979656443,False,0.0,SIMULATED_OPERATIONAL
2026-01-01 21:00:00,BHARATI,72093.16391009418,100000,72.09316391009418,196.173375630255,4106.836089905816,367.49718802807587,False,0.0,SIMULATED_OPERATIONAL
2026-01-01 22:00:00,BHARATI,71892.60522513332,100000,71.89260522513332,200.558684960868,4307.394774866684,358.4616903484416,False,0.0,SIMULATED_OPERATIONAL
2026-01-01 23:00:00,BHARATI,71723.616307375,100000,71.723616307375,168.9889177583067,4476.3836926249905,424.4279285222501,False,0.0,SIMULATED_OPERATIONAL
2026-01-02 00:00:00,BHARATI,71548.16084564681,100000,71.5481608456468,175.45546172819056,4462.585471265923,407.7853156631095,False,0.0,SIMULATED_OPERATIONAL
2026-01-02 01:00:00,BHARATI,71378.25263281546,100000,71.37825263281546,169.90821283134733,4447.274862944206,420.0988960060822,False,0.0,SIMULATED_OPERATIONAL
2026-01-02 02:00:00,BHARATI,71212.368310237,100000,71.212368310237,165.8843225784604,4439.76357538874,429.28932163890767,False,0.0,SIMULATED_OPERATIONAL
2026-01-02 03:00:00,BHARATI,71036.11083089582,100000,71.03611083089582,176.25747934118186,4450.540212258395,403.0246608337744,False,0.0,SIMULATED_OPERATIONAL
2026-01-02 04:00:00,BHARATI,70851.72779539783,100000,70.85172779539784,184.3830354979855,4456.012417947243,384.2638104098895,False,0.0,SIMULATED_OPERATIONAL
2026-01-02 05:00:00,BHARATI,70679.47513568554,100000,70.67947513568554,172.25265971229788,4443.05693002943,410.32443419879115,False,0.0,SIMULATED_OPERATIONAL
2026-01-02 06:00:00,BHARATI,70503.10651253103,100000,70.50310651253102,176.3686231545111,4427.156797478284,399.7485791492823,False,0.0,SIMULATED_OPERATIONAL
2026-01-02 07:00:00,BHARATI,70293.94315279042,100000,70.29394315279042,209.16335974059672,4424.571707810842,336.07197379105304,False,0.0,SIMULATED_OPERATIONAL
2026-01-02 08:00:00,BHARATI,70099.81929190885,100000,70.09981929190884,194.12386088157353,4409.01803430073,361.10872189315086,False,0.0,SIMULATED_OPERATIONAL
2026-01-02 09:00:00,BHARATI,69891.19575211118,100000,69.89119575211117,208.62353979767278,4413.511874296784,335.0110721920117,False,0.0,SIMULATED_OPERATIONAL
2026-01-02 10:00:00,BHARATI,69687.41810827442,100000,69.68741810827441,203.77764383675498,4416.564746723706,341.9777400316817,False,0.0,SIMULATED_OPERATIONAL
2026-01-02 11:00:00,BHARATI,69512.765793326,100000,69.512765793326,174.65231494841703,4416.4241810251215,398.0065526978922,False,0.0,SIMULATED_OPERATIONAL
2026-01-02 12:00:00,BHARATI,69336.99487809694,100000,69.33699487809695,175.77091522905576,4416.880258755896,394.47365218381253,False,0.0,SIMULATED_OPERATIONAL
